Actual Spoken Hook,Spoken Hook Framework,Spoken Hook Structure,Visual Hook | Graphic Selection,Visual Hook | Visual Movemen,Visual Hook | Layout Structrure,Text Hook | Word Structure,Text Hook | Layout,Text Hook | Motion,Audio Hook | Structure,Audio Hook | Specifics,Video Link,Niche,Content Type,Performance (out of top 10 on channel),Views
Do you realize that every video that you watch today is using this technique to keep you hooked,Do you realize that [X] is using [Y thing] to get you [Z result],Secret Reveal,Creator A-Roll,"A-Roll - None, B-Roll - None",Full screen A-roll (in world),Captions (repeat of spoken),Text on Colored Background,No Motion,Music only,Upbeat music,https://www.instagram.com/instagramforbusiness/reel/DFNiMQiubqS/,Content Marketing,Education,1,"1,200,000"
"These are called Lifesize Floor Plans. You can literally walk through your home design before you build it. And I think, this is the future of how people are going to build their homes.",These are called [X]. You can literally do [Y non-obvious thing]. This is the future of how [Z people] will do [Y thing],Fortuneteller,"Arrow/Highlights, Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll w/ A-roll overlaid, Split screen A-roll + B-roll",Future of [X thing],Text on Colored Background,Swipes In,Music + SFX,Whoosh SFX,https://www.instagram.com/kallaway/reel/C_iVgDcJLd1/,Tech,Entertainment,2,"14,400,000"
"This is the exact same video, but the second time it was posted, it got 21.4x more views",This is the exact same [X thing]. But the second time/one it got [Yx better result],Comparison,"Creator A-Roll, Example Videos","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,Music only,Upbeat music,https://www.instagram.com/viralvideo.club/reel/DBbhGuko0Yn/,Content Marketing,Education,2,"1,000,000"
This company lets you order sunlight on demand. It’s like Uber Eats for the sun.,[X person/company] lets you do [Y non-obvious action] on demand. It’s like [simplified metaphor],Secret Reveal,"Creator A-Roll, Image Screenshots, Non-person B-Roll","A-Roll - Quick Zoom, B-Roll - Quick Cuts, B-Roll - Swipe Transitions","Full screen A-roll (in studio), Full screen B-roll w/ A-roll overlaid, Split screen A-roll + B-roll",[X shocking thing],Text on Colored Background,Swipes In,Music + SFX,Riser SFX,https://www.instagram.com/kallaway/reel/DA8kxupvEzk/,Tech,Entertainment,3,"10,900,000"
Steal these viral hooks,Steal [X valuable thing],Secret Reveal,Creator in B-Roll,"A-Roll - Crash Zoom, B-Roll - Quick Cuts",Full screen A-roll (in world),[X shocking thing],Text Written On Prop,No Motion,No audio,None,https://www.instagram.com/viralvideo.club/reel/DEFHFaoov-L/,Content Marketing,Education,5,"402,000"
"I might post tomorrow. Rain or shine, I post daily",[X frame] vs [Y opposing frame],Comparison,Creator A-Roll,"A-Roll - None, B-Roll - None",Full screen A-roll (in world),[X numbers] vs [Y numbers],Text with Shadow,No Motion,Music only,None,https://www.instagram.com/viralvideo.club/reel/DIBWpwdIxfo/,Content Marketing,Education,6,"374,000"
The writer of Rick and Morty might have just given the best advice I’ve ever heard on writer’s block,[X person] just gave the best advice I’ve ever heard on [Y problem],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Text on Colored Background,No Motion,No audio,None,https://www.instagram.com/viralvideo.club/reel/DIyeEBTI-wG/,Content Marketing,Education,7,"364,000"
"Apple just dropped the iPhone 16 with something we didn’t expect, but before you order, let’s take a look.","[X company] just dropped the [Y product] with something we didn’t expect, but before you [Z action], let’s take a look.",Secret Reveal,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - Quick Cuts",Split screen A-roll + B-roll,[X shocking thing],Text on Colored Background,No Motion,Music only,Upbeat music,https://www.instagram.com/rpn/reel/C_tSlQCyY41/,Tech,Entertainment,1,"7,429,841"
"I’m giving away this $3,600 gaming laptop to one of you guys for free.",I’m giving away this [X expensive item] to one of you guys for free.,Secret Reveal,"Creator in B-Roll, Subject in B-Roll",B-Roll - Quick Cuts,Full screen B-roll,[X shocking thing],Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/rpn/reel/C2AYL8Qs8Wu/,Tech,Entertainment,2,"6,608,616"
I gotta show you guys a shortcut that the new Samsung Galaxy S25 Ultra can do so you can get more done and save time.,I gotta show you guys a [X feature] that the [Y product] can do so you can [Z benefit].,Educational/Tutorial,"Creator in B-Roll, Subject in B-Roll",B-Roll - Slow Zooms,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/rpn/reel/DH_P8bjMptm/,Tech,Education,3,"6,442,359"
