Hook,Framework,Category,Visual_Suggestion,Text_Suggestion,Views
Do you realize that every video that you watch today is using this technique to keep you hooked,Do you realize that [X] is using [Y thing] to get you [Z result],Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"1,200,000"
"These are called Lifesize Floor Plans. You can literally walk through your home design before you build it. And I think, this is the future of how people are going to build their homes.",These are called [X]. You can literally do [Y non-obvious thing]. This is the future of how [Z people] will do [Y thing],Fortuneteller,"Arrow/Highlights, Creator A-Roll, Non-person B-Roll",Future of [X thing],"14,400,000"
"This is the exact same video, but the second time it was posted, it got 21.4x more views",This is the exact same [X thing]. But the second time/one it got [Yx better result],Comparison,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"1,000,000"
This company lets you order sunlight on demand. It’s like Uber Eats for the sun.,[X person/company] lets you do [Y non-obvious action] on demand. It’s like [simplified metaphor],Secret Reveal,"Creator A-Roll, Image Screenshots, Non-person B-Roll",[X shocking thing],"10,900,000"
Steal these viral hooks,Steal [X valuable thing],Secret Reveal,Creator in B-Roll,[X shocking thing],"402,000"
"I might post tomorrow. Rain or shine, I post daily",[X frame] vs [Y opposing frame],Comparison,Creator A-Roll,[X numbers] vs [Y numbers],"374,000"
The writer of Rick and Morty might have just given the best advice I’ve ever heard on writer’s block,[X person] just gave the best advice I’ve ever heard on [Y problem],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"364,000"
"Apple just dropped the iPhone 16 with something we didn’t expect, but before you order, let’s take a look.","[X company] just dropped the [Y product] with something we didn’t expect, but before you [Z action], let’s take a look.",Secret Reveal,"Creator A-Roll, Subject in B-Roll",[X shocking thing],"7,429,841"
"I’m giving away this $3,600 gaming laptop to one of you guys for free.",I’m giving away this [X expensive item] to one of you guys for free.,Secret Reveal,"Creator in B-Roll, Subject in B-Roll",[X shocking thing],"6,608,616"
I gotta show you guys a shortcut that the new Samsung Galaxy S25 Ultra can do so you can get more done and save time.,I gotta show you guys a [X feature] that the [Y product] can do so you can [Z benefit].,Educational/Tutorial,"Creator in B-Roll, Subject in B-Roll",Captions (repeat of spoken),"6,442,359"
